City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
43,Busselton,AU,5/31/21 15:21,-33.65,115.3333,51.08,85,100,6.46
44,Salinopolis,BR,5/31/21 15:21,-0.6136,-47.3561,84.9,67,9,9.48
45,Atuona,PF,5/31/21 15:21,-9.8,-139.0333,78.66,70,25,11.88
46,Souillac,MU,5/31/21 15:21,-20.5167,57.5167,74.35,83,40,8.48
47,Kapaa,US,5/31/21 15:18,22.0752,-159.319,71.58,88,1,4.41
48,Waitati,NZ,5/31/21 15:21,-45.75,170.5667,44.8,84,100,7.07
49,Dekar,BW,5/31/21 15:21,-21.5333,21.9333,76.78,18,69,3.89
50,Assare,BR,5/31/21 15:21,-6.8744,-39.875,91.58,34,4,7.54
51,Mataura,NZ,5/31/21 15:21,-46.1927,168.8643,49.48,96,100,2.1
52,Port Elizabeth,ZA,5/31/21 15:19,-33.918,25.5701,61.11,72,0,24.16
53,Beloha,MG,5/31/21 15:21,-25.1667,45.05,67.33,70,90,11.79
54,Puerto Ayora,EC,5/31/21 15:21,-0.7393,-90.3518,80.56,88,83,5.01
55,Zharkent,KZ,5/31/21 15:21,44.1628,80,77.34,24,78,8.01
56,Cape Town,ZA,5/31/21 15:17,-33.9258,18.4232,62.1,82,75,1.01
57,Lebu,CL,5/31/21 15:18,-37.6167,-73.65,57.58,95,100,11.88
58,Port-Gentil,GA,5/31/21 15:21,-0.7193,8.7815,80.56,89,90,10.36
59,Machinga,MW,5/31/21 15:21,-15.1685,35.3,72.75,50,15,2.75
60,Port Alfred,ZA,5/31/21 15:18,-33.5906,26.891,62.71,62,100,12.19
61,Kabare,CD,5/31/21 15:21,-2.4683,28.8242,69.26,83,78,4.38
62,Ponta Do Sol,PT,5/31/21 15:19,32.6667,-17.1,71.01,73,58,2.55
63,Port Said,EG,5/31/21 15:21,31.2565,32.2841,74.88,81,0,21.65
64,Gistrup,DK,5/31/21 15:21,56.9943,9.9909,67.91,63,0,4
65,Tabuk,PH,5/31/21 15:21,17.4189,121.4443,77.22,87,100,3.31
66,Sangar,RU,5/31/21 15:21,63.9242,127.4739,47.61,63,20,2.48
67,Jalu,LY,5/31/21 15:21,29.0331,21.5482,96.8,15,12,14.32
68,Lata,PT,5/31/21 15:20,40.1629,-8.3327,87.04,52,38,11.43
69,Kavieng,PG,5/31/21 15:21,-2.5744,150.7967,78.22,89,100,5.99
70,Chokurdakh,RU,5/31/21 15:21,70.6333,147.9167,52.48,54,30,10.16
71,Bhinmal,IN,5/31/21 15:21,25,72.25,95.85,34,0,16.31
72,Mega,ET,5/31/21 15:21,4.05,38.3,65.01,65,95,14.2
73,Barrow,US,5/31/21 15:21,71.2906,-156.7887,28.42,74,90,11.5
74,Pevek,RU,5/31/21 15:21,69.7008,170.3133,36.25,67,36,0.38
75,Kaplice,CZ,5/31/21 15:21,48.7385,14.4963,63.64,60,73,7.78
76,Sao Jose Da Coroa Grande,BR,5/31/21 15:21,-8.8978,-35.1478,81.75,71,28,7.74
77,Chumikan,RU,5/31/21 15:21,54.7183,135.315,36.45,95,78,1.14
78,Tura,IN,5/31/21 15:21,25.5198,90.2201,72.81,96,100,6.17
79,East London,ZA,5/31/21 15:21,-33.0153,27.9116,65.34,63,0,3.44
80,Butaritari,KI,5/31/21 15:21,3.0707,172.7902,82.6,77,36,15.99
81,Akrini,GR,5/31/21 15:21,40.4333,21.9,62.64,73,77,6.42
82,Tual,ID,5/31/21 15:21,-5.6667,132.75,81.41,79,45,18.25
83,Proletariy,RU,5/31/21 15:21,58.4342,31.7046,56.1,39,100,3.56
84,Innisfail,AU,5/31/21 15:21,-17.5333,146.0333,69.42,86,98,9.71
85,Owando,CG,5/31/21 15:21,-0.4819,15.8999,81.12,72,96,5.12
86,Pochutla,MX,5/31/21 15:21,15.7432,-96.4661,87.62,59,98,1.95
87,Ribeira Grande,PT,5/31/21 15:21,38.5167,-28.7,66.6,88,75,5.75
88,Port Blair,IN,5/31/21 15:21,11.6667,92.75,80.64,89,40,0
89,Nianzishan,CN,5/31/21 15:21,47.5167,122.8833,60.89,86,100,10.42
90,Corrales,US,5/31/21 15:21,35.2378,-106.6067,68.23,57,40,5.99
91,Avarua,CK,5/31/21 15:21,-21.2078,-159.775,68.05,77,87,3.44
92,Northam,GB,5/31/21 15:21,51.0333,-4.2167,70.48,71,73,12.37
93,Kasempa,ZM,5/31/21 15:21,-13.4584,25.8338,76.24,25,1,4.94
94,Shenjiamen,CN,5/31/21 15:20,29.9576,122.298,68.81,90,99,11.77
95,Monroe,US,5/31/21 15:21,43.1501,-77.6831,67.3,51,20,12.66
96,Lagoa,PT,5/31/21 15:21,39.05,-27.9833,61.21,85,100,19.69
97,Clyde River,CA,5/31/21 15:19,70.4692,-68.5914,25.03,100,1,4.61
98,Najran,SA,5/31/21 15:21,17.4924,44.1277,95.65,9,1,20.78
99,Sitka,US,5/31/21 15:21,57.0531,-135.33,57.09,67,90,18.41
100,Shahr-E Kord,IR,5/31/21 15:21,32.3256,50.8644,83.97,10,0,9.22
