City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Shelburne,CA,44.0787,-80.2041,82.29,43,100,18.39,overcast clouds
143,Salalah,OM,17.0151,54.0924,84.29,84,40,5.75,scattered clouds
144,Saldanha,ZA,-33.0117,17.9442,60.71,50,0,9.8,clear sky
145,Skibbereen,IE,51.55,-9.2667,62.4,74,96,7.7,overcast clouds
146,Cartagena,CO,10.3997,-75.5144,91.02,66,40,9.22,scattered clouds
147,Muroto,JP,33.2833,134.15,65.52,89,100,14.72,overcast clouds
148,Dryden,CA,49.7833,-92.7503,77.29,50,1,8.05,clear sky
149,Leningradskiy,RU,69.3833,178.4167,33.51,94,100,10.04,overcast clouds
150,Shenjiamen,CN,29.9576,122.298,67.59,85,0,10.87,light rain
151,Hovd,MN,48.0056,91.6419,54.95,28,24,22.48,few clouds
152,Maniitsoq,GL,65.4167,-52.9,38.39,96,100,11.61,overcast clouds
153,West Wendover,US,40.7391,-114.0733,81.61,26,1,3.44,clear sky
154,Sangin,AF,32.0728,64.8359,96.44,5,0,8.08,clear sky
155,Torbay,CA,47.6666,-52.7314,60.76,89,90,8.05,mist
156,Jiuquan,CN,39.7432,98.5174,73.81,33,100,18.21,moderate rain
157,Thayetmyo,MM,19.3167,95.1833,84.29,67,99,5.68,overcast clouds
158,Hashtrud,IR,37.4779,47.0508,73.22,21,1,14.76,clear sky
159,Inta,RU,66.0317,60.1659,56.75,61,100,6.98,overcast clouds
160,Kaputa,ZM,-8.4689,29.6619,73.4,61,22,13.22,few clouds
161,Palmer,US,42.1584,-72.3287,88.61,54,20,1.01,few clouds
162,Mieres,ES,43.25,-5.7667,63.34,81,12,7.78,few clouds
163,Vao,NC,-22.6667,167.4833,72.27,79,100,23.53,overcast clouds
164,Aklavik,CA,68.2191,-135.0107,34.63,100,90,10.36,mist
165,Paamiut,GL,61.994,-49.6678,37.96,92,100,6.02,light rain
166,Sao Filipe,CV,14.8961,-24.4956,78.19,63,19,15.1,few clouds
167,Marsh Harbour,BS,26.5412,-77.0636,79.81,78,93,15.1,overcast clouds
